category,runs_per_month,input_tok_per_run,output_tok_per_run,retry_rate,model,input_usd_per_mtok,output_usd_per_mtok,monthly_jpy_expected,notes
writer,240,4500,3000,0.30,sonnet-4.6,3,15,1840,"v10.2 §3.3 30 core × 8 platform、retry 30% で Editor reject"
editor,312,1500,500,0.05,sonnet-4.6,3,15,321,"6+4 ルール判定"
hook_analyzer,342,800,300,0.05,sonnet-4.6,3,15,234,"類型分類 + 新候補検出 (Haiku 4.5 でも可)"
visualizer_prompt,180,1200,200,0.20,sonnet-4.6,3,15,130,"画像生成プロンプトのみ (画像本体は別行)"
interviewer,60,2000,12000,0.05,sonnet-4.6,3,15,1140,"月 60 セッション × 8 ターン、cache hit で input は微増"
optimizer_phase1,4,30000,5000,0,sonnet-4.6,3,15,125,"weekly 数値分析"
optimizer_phase2,4,50000,12000,0,opus-4.7-thinking,15,75,702,"weekly 仮説検証 + thinking 5000 tok"
optimizer_phase3,4,20000,5000,0,sonnet-4.6,3,15,110,"weekly 施策立案"
ma_session_overhead,72,0,0,0,ma,0,0,84,"active_seconds 課金 (avg 1.3 min × $0.005/sec)"
image_low,120,0,0,0,gpt-image-2-low,0,0,153,"low 272 tok = $0.00816/枚"
image_medium,30,0,0,0,gpt-image-2-medium,0,0,148,"medium 1056 tok = $0.03168/枚"
image_high,0,0,0,0,gpt-image-2-high,0,0,0,"Phase 1 では使用しない"
x_api_url_post,30,0,0,0,x-pay-per-use,0,0,936,"URL 付き $0.200/req × 30 件 (夕方 17:00 note 送客)"
x_api_url_none,120,0,0,0,x-pay-per-use,0,0,281,"URL なし $0.015/req × 120 件 (朝昼夕夜)"
x_api_metrics_read,150,0,0,0,x-pay-per-use,0,0,70,"non_public_metrics read $0.005/req × 150 件"
twitterapi_io,50,0,0,0,twitterapi-io,0,0,100,"$0.15/1000 tweets × 月 50 query"
cloudflare_workers,1,0,0,0,cf-workers-paid,0,0,780,"$5/月 (250 cron + 30s-15min CPU)"
supabase,1,0,0,0,supabase-free,0,0,0,"Free tier (500MB)、Pro 移行時 +¥3,900"
line_messaging,340,0,0,0,line-msg-api,0,0,700,"Daily 30 + Weekly 4 + Interview 300 + 異常 6 - 無料 200 = 超過 140 × ¥5"
x_premium_basic,1,0,0,0,x-premium-basic,0,0,980,"X Premium Basic 980 円/月"
